trial, posx, posy, posz, rot
1 , -4865.167969 , -1353.588867 , 75.0 , -42.082935
1 , 883.340698 , 4374.652344 , 75.0 , -126.474632
1 , -13856.574219 , -10543.285156 , 75.0 , -79.363472
1 , -628.677856 , 11561.585938 , 75.0 , 163.219315
1 , -10665.366211 , 7008.449219 , 75.0 , -140.915771
1 , 6173.947266 , -5101.46582 , 75.0 , 1.251892
1 , 1816.400269 , 9787.308594 , 75.0 , 116.48114
1 , -9707.214844 , 9972.298828 , 75.0 , -141.274475
1 , -209.560638 , -2961.327148 , 75.0 , -99.778122
1 , 5220.652344 , 8771.554688 , 75.0 , -80.238998
1 , -7933.762695 , 5186.892578 , 75.0 , 19.202211
1 , -9616.463867 , 7970.167969 , 75.0 , 149.838516
1 , 4750.824219 , 14222.666016 , 75.0 , -159.75087
1 , 8932.410156 , 2735.585938 , 75.0 , -78.527435
1 , -4793.62793 , -9798.293945 , 75.0 , -99.179138
1 , 9170.876953 , 10220.404297 , 75.0 , -28.62118
1 , 3088.277344 , 8997.390625 , 75.0 , 153.17485
1 , 13630.904297 , -5039.713867 , 75.0 , 37.74025
1 , 208.73819 , -12796.823242 , 75.0 , -170.698105
1 , -7376.679199 , 12673.484375 , 75.0 , 31.152222
1 , 1046.103394 , -5833.960938 , 75.0 , -155.313705
1 , 13928.390625 , -8663.861328 , 75.0 , -23.006693
1 , -10675.263672 , -11199.964844 , 75.0 , -15.030199
1 , -10171.206055 , -8103.015625 , 75.0 , -101.016113
1 , -7738.69873 , -13068.801758 , 75.0 , 148.768127
1 , -3077.879883 , 16.30864 , 75.0 , 81.996338
1 , -247.750092 , -2610.999023 , 75.0 , -28.53582
1 , 9331.224609 , -5350.011719 , 75.0 , 165.835449
2 , -4865.167969 , -1353.588867 , 75.0 , -42.082935
2 , 883.340698 , 4374.652344 , 75.0 , -126.474632
2 , -13856.574219 , -10543.285156 , 75.0 , -79.363472
2 , -628.677856 , 11561.585938 , 75.0 , 163.219315
2 , -10665.366211 , 7008.449219 , 75.0 , -140.915771
2 , 6173.947266 , -5101.46582 , 75.0 , 1.251892
2 , 1816.400269 , 9787.308594 , 75.0 , 116.48114
2 , -9707.214844 , 9972.298828 , 75.0 , -141.274475
2 , -209.560638 , -2961.327148 , 75.0 , -99.778122
2 , 5220.652344 , 8771.554688 , 75.0 , -80.238998
2 , -7933.762695 , 5186.892578 , 75.0 , 19.202211
2 , -9616.463867 , 7970.167969 , 75.0 , 149.838516
2 , 4750.824219 , 14222.666016 , 75.0 , -159.75087
2 , 8932.410156 , 2735.585938 , 75.0 , -78.527435
2 , -4793.62793 , -9798.293945 , 75.0 , -99.179138
2 , 9170.876953 , 10220.404297 , 75.0 , -28.62118
2 , 3088.277344 , 8997.390625 , 75.0 , 153.17485
2 , 13630.904297 , -5039.713867 , 75.0 , 37.74025
2 , 208.73819 , -12796.823242 , 75.0 , -170.698105
2 , -7376.679199 , 12673.484375 , 75.0 , 31.152222
2 , 1046.103394 , -5833.960938 , 75.0 , -155.313705
2 , 13928.390625 , -8663.861328 , 75.0 , -23.006693
2 , -10675.263672 , -11199.964844 , 75.0 , -15.030199
2 , -10171.206055 , -8103.015625 , 75.0 , -101.016113
2 , -7738.69873 , -13068.801758 , 75.0 , 148.768127
2 , -3077.879883 , 16.30864 , 75.0 , 81.996338
2 , -247.750092 , -2610.999023 , 75.0 , -28.53582
2 , 9331.224609 , -5350.011719 , 75.0 , 165.835449
3 , -4865.167969 , -1353.588867 , 75.0 , -42.082935
3 , 883.340698 , 4374.652344 , 75.0 , -126.474632
3 , -13856.574219 , -10543.285156 , 75.0 , -79.363472
3 , -628.677856 , 11561.585938 , 75.0 , 163.219315
3 , -10665.366211 , 7008.449219 , 75.0 , -140.915771
3 , 6173.947266 , -5101.46582 , 75.0 , 1.251892
3 , 1816.400269 , 9787.308594 , 75.0 , 116.48114
3 , -9707.214844 , 9972.298828 , 75.0 , -141.274475
3 , -209.560638 , -2961.327148 , 75.0 , -99.778122
3 , 5220.652344 , 8771.554688 , 75.0 , -80.238998
3 , -7933.762695 , 5186.892578 , 75.0 , 19.202211
3 , -9616.463867 , 7970.167969 , 75.0 , 149.838516
3 , 4750.824219 , 14222.666016 , 75.0 , -159.75087
3 , 8932.410156 , 2735.585938 , 75.0 , -78.527435
3 , -4793.62793 , -9798.293945 , 75.0 , -99.179138
3 , 9170.876953 , 10220.404297 , 75.0 , -28.62118
3 , 3088.277344 , 8997.390625 , 75.0 , 153.17485
