trial, time, position
1 , 51.161999 , X=5534.483 Y=11686.622 Z=20.000
1 , 57.404999 , X=3220.424 Y=11740.288 Z=20.000
1 , 63.808998 , X=2161.241 Y=9630.277 Z=20.000
1 , 70.149002 , X=4849.995 Y=9684.775 Z=20.000
1 , 77.375999 , X=6315.244 Y=7579.657 Z=20.000
1 , 83.198997 , X=3988.694 Y=7629.541 Z=20.000
1 , 110.834 , X=-6877.022 Y=7446.122 Z=20.000
1 , 117.157997 , X=-5706.073 Y=5460.405 Z=20.000
2 , 187.574005 , X=-2388.085 Y=11951.308 Z=20.000
2 , 194.751999 , X=118.078 Y=12173.808 Z=20.000
2 , 200.817993 , X=-1126.660 Y=10196.744 Z=20.000
2 , 207.287003 , X=-2371.080 Y=8232.181 Z=20.000
2 , 214.046005 , X=134.716 Y=8441.681 Z=20.000
2 , 220.677002 , X=1390.470 Y=10812.244 Z=20.000
3 , 303.221985 , X=1983.392 Y=-9087.039 Z=20.000
3 , 310.141998 , X=-511.911 Y=-8872.539 Z=20.000
3 , 322.790009 , X=-1753.874 Y=-6315.476 Z=20.000
3 , 328.920013 , X=750.380 Y=-6125.476 Z=20.000
3 , 335.484985 , X=3254.388 Y=-5921.976 Z=20.000
3 , 342.083008 , X=2008.682 Y=-3552.412 Z=20.000
3 , 351.087006 , X=-485.190 Y=-3273.412 Z=20.000
3 , 367.201996 , X=-2764.295 Y=2006.190 Z=20.000
3 , 373.526001 , X=-4156.338 Y=4036.312 Z=20.000
4 , 400.434998 , X=2998.797 Y=6493.344 Z=20.000
4 , 406.419006 , X=683.898 Y=6504.032 Z=20.000
4 , 412.648987 , X=2126.560 Y=8681.023 Z=20.000
4 , 418.859009 , X=-181.268 Y=8692.303 Z=20.000
4 , 425.10199 , X=1261.908 Y=10868.704 Z=20.000
4 , 432.473999 , X=3990.343 Y=10882.093 Z=20.000
4 , 499.470001 , X=4425.616 Y=-11742.546 Z=20.000
