trial, time, gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
1 , 5.476 , true , 10450.174805 -89.152954 -63.815144,12950.174805 -89.152954 -63.815144,11700.174805 2075.9104 -63.815144,9200.174805 2075.910156 -63.815144,7950.174805 -89.153175 -63.815144,9200.174805 -2254.217041 -63.815144,11700.174805 -2254.217041 -63.815144,2923.79541 9128.839844 16.053106,5423.79541 9128.839844 16.053106,4173.79541 11293.90332 16.053106,1673.795288 11293.90332 16.053106,423.795654 9128.839844 16.053106,1673.795654 6963.772461 16.053106,4173.794922 6963.772461 16.053106,-6809.979492 2292.997559 113.770157,-4309.979492 2292.997559 113.770157,-5559.979492 4458.061523 113.770157,-8059.979492 4458.061035 113.770157,-9309.975586 2292.997314 113.770157,-8059.979492 127.934387 113.770157,-5559.979492 127.934387 113.770157,15.254639 -9936.755859 151.664917,2515.253906 -9936.755859 151.664917,1265.254761 -7771.692383 151.664917,-1234.745239 -7771.692383 151.664917,-2484.746094 -9936.755859 151.664917,-1234.744873 -12101.819336 151.664917,1265.254639 -12101.819336 151.664917,
1 , 5.976 , true , 10457.016602 -103.06218 -63.815144,12957.016602 -103.06218 -63.815144,11707.016602 2061.999756 -63.815144,9207.016602 2061.999512 -63.815144,7957.016602 -103.062401 -63.815144,9207.016602 -2268.127686 -63.815144,11707.016602 -2268.127686 -63.815144,2938.689941 9133.138672 16.053106,5438.689941 9133.138672 16.053106,4188.689941 11298.202148 16.053106,1688.689819 11298.202148 16.053106,438.691132 9133.138672 16.053106,1688.690186 6968.056152 16.053106,4188.689453 6968.056152 16.053106,-6816.230957 2307.180664 113.770157,-4316.230957 2307.180664 113.770157,-5566.230957 4472.244629 113.770157,-8066.230957 4472.244141 113.770157,-9316.211914 2307.18042 113.770157,-8066.230957 142.119385 113.770157,-5566.230957 142.119385 113.770157,1.611732 -9929.399414 151.664917,2501.608154 -9929.399414 151.664917,1251.612793 -7764.335938 151.664917,-1248.387207 -7764.335938 151.664917,-2498.391846 -9929.399414 151.664917,-1248.386841 -12094.462891 151.664917,1251.612671 -12094.462891 151.664917,
1 , 6.476 , true , 10463.858398 -116.971405 -63.815144,12963.858398 -116.971405 -63.815144,11713.858398 2048.089111 -63.815144,9213.858398 2048.088867 -63.815144,7963.858398 -116.971626 -63.815144,9213.858398 -2282.03833 -63.815144,11713.858398 -2282.03833 -63.815144,2953.584473 9137.4375 16.053106,5453.584473 9137.4375 16.053106,4203.584473 11302.500977 16.053106,1703.584351 11302.500977 16.053106,453.586609 9137.4375 16.053106,1703.584717 6972.339844 16.053106,4203.583984 6972.339844 16.053106,-6822.482422 2321.36377 113.770157,-4322.482422 2321.36377 113.770157,-5572.482422 4486.427734 113.770157,-8072.482422 4486.427246 113.770157,-9322.448242 2321.363525 113.770157,-8072.482422 156.304382 113.770157,-5572.482422 156.304382 113.770157,-12.031172 -9922.042969 151.664917,2487.962402 -9922.042969 151.664917,1237.970825 -7756.979492 151.664917,-1262.029175 -7756.979492 151.664917,-2512.037598 -9922.042969 151.664917,-1262.028809 -12087.106445 151.664917,1237.970703 -12087.106445 151.664917,
1 , 6.976 , true , 10470.700195 -130.88063 -63.815144,12970.700195 -130.88063 -63.815144,11720.700195 2034.178467 -63.815144,9220.700195 2034.178223 -63.815144,7970.700195 -130.880859 -63.815144,9220.700195 -2295.948975 -63.815144,11720.700195 -2295.948975 -63.815144,2968.479004 9141.736328 16.053106,5468.479004 9141.736328 16.053106,4218.479004 11306.799805 16.053106,1718.478882 11306.799805 16.053106,468.482086 9141.736328 16.053106,1718.479248 6976.623535 16.053106,4218.478516 6976.623535 16.053106,-6828.733887 2335.546875 113.770157,-4328.733887 2335.546875 113.770157,-5578.733887 4500.61084 113.770157,-8078.733887 4500.610352 113.770157,-9328.68457 2335.546631 113.770157,-8078.733887 170.48938 113.770157,-5578.733887 170.48938 113.770157,-25.674086 -9914.686523 151.664917,2474.31665 -9914.686523 151.664917,1224.328857 -7749.623047 151.664917,-1275.671143 -7749.623047 151.664917,-2525.68335 -9914.686523 151.664917,-1275.670776 -12079.75 151.664917,1224.328735 -12079.75 151.664917,
1 , 7.477 , true , 10477.541992 -144.789856 -63.815144,12977.541992 -144.789856 -63.815144,11727.541992 2020.267822 -63.815144,9227.541992 2020.267578 -63.815144,7977.541992 -144.790085 -63.815144,9227.541992 -2309.859619 -63.815144,11727.541992 -2309.859619 -63.815144,2983.373535 9146.035156 16.053106,5483.373535 9146.035156 16.053106,4233.373535 11311.098633 16.053106,1733.373413 11311.098633 16.053106,483.377563 9146.035156 16.053106,1733.373779 6980.907227 16.053106,4233.373047 6980.907227 16.053106,-6834.985352 2349.72998 113.770157,-4334.985352 2349.72998 113.770157,-5584.985352 4514.793945 113.770157,-8084.985352 4514.793457 113.770157,-9334.920898 2349.729736 113.770157,-8084.985352 184.674377 113.770157,-5584.985352 184.674377 113.770157,-39.316998 -9907.330078 151.664917,2460.670898 -9907.330078 151.664917,1210.68689 -7742.266602 151.664917,-1289.31311 -7742.266602 151.664917,-2539.329102 -9907.330078 151.664917,-1289.312744 -12072.393555 151.664917,1210.686768 -12072.393555 151.664917,
1 , 7.977 , true , 10484.383789 -158.699081 -63.815144,12984.383789 -158.699081 -63.815144,11734.383789 2006.357178 -63.815144,9234.383789 2006.356934 -63.815144,7984.383789 -158.69931 -63.815144,9234.383789 -2323.770264 -63.815144,11734.383789 -2323.770264 -63.815144,2998.268066 9150.333984 16.053106,5498.268066 9150.333984 16.053106,4248.268066 11315.397461 16.053106,1748.267944 11315.397461 16.053106,498.273041 9150.333984 16.053106,1748.268311 6985.190918 16.053106,4248.267578 6985.190918 16.053106,-6841.236816 2363.913086 113.770157,-4341.236816 2363.913086 113.770157,-5591.236816 4528.977051 113.770157,-8091.236816 4528.976562 113.770157,-9341.157227 2363.912842 113.770157,-8091.236816 198.859375 113.770157,-5591.236816 198.859375 113.770157,-52.959911 -9899.973633 151.664917,2447.025146 -9899.973633 151.664917,1197.044922 -7734.910156 151.664917,-1302.955078 -7734.910156 151.664917,-2552.974854 -9899.973633 151.664917,-1302.954712 -12065.037109 151.664917,1197.0448 -12065.037109 151.664917,
1 , 8.477 , true , 10491.225586 -172.608307 -63.815144,12991.225586 -172.608307 -63.815144,11741.225586 1992.446533 -63.815144,9241.225586 1992.446289 -63.815144,7991.225586 -172.608536 -63.815144,9241.225586 -2337.680908 -63.815144,11741.225586 -2337.680908 -63.815144,3013.162598 9154.632812 16.053106,5513.162598 9154.632812 16.053106,4263.162598 11319.696289 16.053106,1763.162476 11319.696289 16.053106,513.168579 9154.632812 16.053106,1763.162842 6989.474609 16.053106,4263.162109 6989.474609 16.053106,-6847.488281 2378.096191 113.770157,-4347.488281 2378.096191 113.770157,-5597.488281 4543.160156 113.770157,-8097.488281 4543.159668 113.770157,-9347.393555 2378.095947 113.770157,-8097.488281 213.044373 113.770157,-5597.488281 213.044373 113.770157,-66.602821 -9892.617188 151.664917,2433.379395 -9892.617188 151.664917,1183.402954 -7727.553711 151.664917,-1316.597046 -7727.553711 151.664917,-2566.620605 -9892.617188 151.664917,-1316.59668 -12057.680664 151.664917,1183.402832 -12057.680664 151.664917,
1 , 8.977 , true , 10498.067383 -186.517532 -63.815144,12998.067383 -186.517532 -63.815144,11748.067383 1978.535889 -63.815144,9248.067383 1978.535645 -63.815144,7998.067383 -186.517761 -63.815144,9248.067383 -2351.591553 -63.815144,11748.067383 -2351.591553 -63.815144,3028.057129 9158.931641 16.053106,5528.057129 9158.931641 16.053106,4278.057129 11323.995117 16.053106,1778.057007 11323.995117 16.053106,528.065002 9158.931641 16.053106,1778.057373 6993.758301 16.053106,4278.056641 6993.758301 16.053106,-6853.739746 2392.279297 113.770157,-4353.739746 2392.279297 113.770157,-5603.739746 4557.343262 113.770157,-8103.739746 4557.342773 113.770157,-9353.629883 2392.279053 113.770157,-8103.739746 227.22937 113.770157,-5603.739746 227.22937 113.770157,-80.245735 -9885.260742 151.664917,2419.733643 -9885.260742 151.664917,1169.760986 -7720.197266 151.664917,-1330.239014 -7720.197266 151.664917,-2580.266357 -9885.260742 151.664917,-1330.238647 -12050.324219 151.664917,1169.760864 -12050.324219 151.664917,
1 , 9.477 , true , 10504.90918 -200.426758 -63.815144,13004.90918 -200.426758 -63.815144,11754.90918 1964.625244 -63.815144,9254.90918 1964.625 -63.815144,8004.90918 -200.426987 -63.815144,9254.90918 -2365.502197 -63.815144,11754.90918 -2365.502197 -63.815144,3042.95166 9163.230469 16.053106,5542.95166 9163.230469 16.053106,4292.95166 11328.293945 16.053106,1792.951538 11328.293945 16.053106,542.961426 9163.230469 16.053106,1792.951904 6998.041992 16.053106,4292.951172 6998.041992 16.053106,-6859.991211 2406.462402 113.770157,-4359.991211 2406.462402 113.770157,-5609.991211 4571.526367 113.770157,-8109.991211 4571.525879 113.770157,-9359.866211 2406.462158 113.770157,-8109.991211 241.414368 113.770157,-5609.991211 241.414368 113.770157,-93.888649 -9877.904297 151.664917,2406.087891 -9877.904297 151.664917,1156.119019 -7712.84082 151.664917,-1343.880981 -7712.84082 151.664917,-2593.912109 -9877.904297 151.664917,-1343.880615 -12042.967773 151.664917,1156.118896 -12042.967773 151.664917,
1 , 9.977 , true , 10511.750977 -214.335983 -63.815144,13011.750977 -214.335983 -63.815144,11761.750977 1950.7146 -63.815144,9261.750977 1950.714355 -63.815144,8011.750977 -214.336212 -63.815144,9261.750977 -2379.412842 -63.815144,11761.750977 -2379.412842 -63.815144,3057.846191 9167.529297 16.053106,5557.846191 9167.529297 16.053106,4307.846191 11332.592773 16.053106,1807.846069 11332.592773 16.053106,557.857849 9167.529297 16.053106,1807.846436 7002.325684 16.053106,4307.845703 7002.325684 16.053106,-6866.242676 2420.645508 113.770157,-4366.242676 2420.645508 113.770157,-5616.242676 4585.709473 113.770157,-8116.242676 4585.708984 113.770157,-9366.102539 2420.645264 113.770157,-8116.242676 255.599365 113.770157,-5616.242676 255.599365 113.770157,-107.531563 -9870.547852 151.664917,2392.442139 -9870.547852 151.664917,1142.477051 -7705.484375 151.664917,-1357.522949 -7705.484375 151.664917,-2607.557861 -9870.547852 151.664917,-1357.522583 -12035.611328 151.664917,1142.476929 -12035.611328 151.664917,
