trial, time, position
1 , 17.708 , X=4600.741 Y=-4433.992 Z=20.000
1 , 24.014999 , X=3350.741 Y=-6599.056 Z=20.000
1 , 30.551001 , X=5850.741 Y=-6599.056 Z=20.000
1 , 43.375999 , X=4600.741 Y=-8764.119 Z=20.000
1 , 51.441002 , X=7100.740 Y=-8764.119 Z=20.000
1 , 57.330002 , X=8350.740 Y=-6599.056 Z=20.000
1 , 83.012001 , X=11583.549 Y=6790.933 Z=20.000
1 , 89.335999 , X=12833.549 Y=8955.996 Z=20.000
1 , 95.561996 , X=11583.549 Y=11121.060 Z=20.000
1 , 101.853996 , X=9083.549 Y=11121.060 Z=20.000
1 , 108.082001 , X=7833.549 Y=8955.996 Z=20.000
2 , 153.363998 , X=9083.549 Y=6790.933 Z=20.000
2 , 159.509995 , X=11583.549 Y=6790.933 Z=20.000
2 , 165.802002 , X=12833.549 Y=8955.996 Z=20.000
2 , 172.078003 , X=11583.549 Y=11121.060 Z=20.000
2 , 182.014999 , X=9083.549 Y=11121.060 Z=20.000
2 , 188.337997 , X=7833.549 Y=8955.996 Z=20.000
2 , 212.115997 , X=-3989.889 Y=9354.727 Z=20.000
2 , 218.843002 , X=-5239.889 Y=7189.663 Z=20.000
2 , 225.085999 , X=-6489.889 Y=9354.727 Z=20.000
2 , 231.281998 , X=-7739.889 Y=7189.663 Z=20.000
3 , 271.169006 , X=4600.741 Y=-4433.992 Z=20.000
3 , 277.717987 , X=7100.741 Y=-4433.992 Z=20.000
3 , 284.17099 , X=8350.740 Y=-6599.056 Z=20.000
3 , 293.528992 , X=7100.740 Y=-8764.119 Z=20.000
3 , 299.401001 , X=5850.741 Y=-6599.056 Z=20.000
3 , 306.062988 , X=3350.741 Y=-6599.056 Z=20.000
3 , 311.983002 , X=4600.741 Y=-8764.119 Z=20.000
3 , 342.005005 , X=-10418.248 Y=-9902.906 Z=20.000
3 , 350.571014 , X=-11668.248 Y=-7737.843 Z=20.000
3 , 358.669006 , X=-10418.248 Y=-5572.779 Z=20.000
3 , 368.960999 , X=-7918.248 Y=-5572.779 Z=20.000
4 , 405.332001 , X=-6668.248 Y=-7737.843 Z=20.000
4 , 412.028015 , X=-7918.248 Y=-9902.906 Z=20.000
4 , 419.062012 , X=-10418.248 Y=-9902.906 Z=20.000
4 , 429.191986 , X=-11668.248 Y=-7737.843 Z=20.000
4 , 478.588013 , X=-6489.889 Y=9354.727 Z=20.000
4 , 485.734009 , X=-3989.889 Y=9354.727 Z=20.000
4 , 492.074005 , X=-2739.889 Y=7189.663 Z=20.000
4 , 498.187988 , X=-3989.889 Y=5024.600 Z=20.000
