trial, posx, posy, posz, rot
1 , 3025.960938 , 3789.812012 , 75.0 , -148.317307
1 , 9556.216797 , -6833.916992 , 75.0 , 144.288666
1 , 8969.399414 , 14192.987305 , 75.0 , 116.479782
1 , -7457.056152 , 3708.835449 , 75.0 , 22.825481
1 , -4949.999023 , 13281.023438 , 75.0 , -115.5383
1 , -6695.149902 , -2374.137207 , 75.0 , -155.775955
1 , 10646.749023 , -12587.216797 , 75.0 , -26.687054
1 , -3667.560059 , -603.762695 , 75.0 , 20.166365
1 , 3309.592773 , -2537.227051 , 75.0 , 2.472347
1 , -6397.644531 , -14491.830078 , 75.0 , -4.754763
1 , -13965.84082 , 9515.300781 , 75.0 , 83.126022
1 , -8981.306641 , 6496.029297 , 75.0 , -134.628174
1 , 8101.366211 , 13359.587891 , 75.0 , 22.639734
1 , -4681.597656 , -11084.397461 , 75.0 , -63.763515
1 , 3221.427246 , 1478.651123 , 75.0 , -70.265816
1 , 1887.930664 , -11447.623047 , 75.0 , -28.956783
1 , 13338.194336 , -8382.619141 , 75.0 , -72.586296
1 , -11758.418945 , 12698.835938 , 75.0 , -139.485992
1 , -8716.15332 , -670.861328 , 75.0 , -59.578999
1 , 12069.09082 , 691.836792 , 75.0 , 106.103004
1 , 4236.145508 , -13659.68457 , 75.0 , 24.483561
1 , -11197.514648 , -14496.12793 , 75.0 , 90.177094
1 , -6704.566406 , -9122.702148 , 75.0 , 164.635574
1 , -10385.564453 , -2822.761475 , 75.0 , -97.643311
1 , 805.552979 , -3076.544434 , 75.0 , 156.929047
1 , 9836.463867 , -5928.942383 , 75.0 , 10.609411
1 , 10030.59082 , -1372.249023 , 75.0 , 60.927402
1 , 14272.481445 , -8761.621094 , 75.0 , 76.508743
2 , -11727.458008 , 9286.248047 , 75.0 , -5.487155
2 , 1547.798828 , 3175.357666 , 75.0 , 130.673065
2 , -6243.9375 , -3572.533203 , 75.0 , -145.709457
2 , 11448.243164 , 1430.423828 , 75.0 , 60.222561
2 , 3823.032227 , 10651.441406 , 75.0 , 148.178329
2 , 12100.118164 , 1881.655273 , 75.0 , 146.13707
2 , -9245.682617 , 9159.007812 , 75.0 , -136.168564
2 , -1255.324219 , -3433.402344 , 75.0 , 8.640592
2 , -13494.263672 , -7360.829102 , 75.0 , -61.854393
2 , -7245.840332 , -12367.102539 , 75.0 , 36.672325
2 , -3463.347656 , -7079.15918 , 75.0 , -88.457329
2 , 12991.967773 , -8233.553711 , 75.0 , -114.44017
2 , 3067.108398 , 5107.855469 , 75.0 , -47.044266
2 , 13745.405273 , 5442.916016 , 75.0 , -48.543381
2 , 13962.277344 , -6302.320312 , 75.0 , 30.722149
2 , 10989.885742 , 13213.588867 , 75.0 , -1.650207
2 , -0.851733 , 3923.424072 , 75.0 , 159.740097
2 , 3779.09082 , -7239.578125 , 75.0 , -74.170525
2 , -9440.621094 , 9296.417969 , 75.0 , 70.017097
2 , -5659.34082 , -5062.418945 , 75.0 , -43.667412
2 , -5303.387695 , 4612.285156 , 75.0 , -60.496212
2 , 6749.958008 , 12624.246094 , 75.0 , 34.184517
2 , -14471.549805 , -2838.697021 , 75.0 , -107.560654
2 , 7404.049805 , -4317.683594 , 75.0 , -103.834732
2 , 2156.557617 , -14332.118164 , 75.0 , -5.01169
2 , -541.864258 , 13809.095703 , 75.0 , -142.633911
2 , 14478.09668 , 11627.875977 , 75.0 , 100.948814
2 , 13012.350586 , 2679.377197 , 75.0 , -116.836403
3 , -6354.836914 , -668.422852 , 75.0 , -158.92334
3 , -7232.885742 , 6615.634766 , 75.0 , 124.099762
3 , 12388.170898 , -14661.43457 , 75.0 , 134.622665
3 , 10246.612305 , 5435.5 , 75.0 , 174.199448
3 , -7955.550293 , -12880.741211 , 75.0 , 81.974495
3 , 11211.986328 , 7012.986328 , 75.0 , -138.933136
3 , -2700.740234 , 4145.699219 , 75.0 , 89.162514
3 , -811.478516 , 11757.080078 , 75.0 , 37.246761
3 , -6394.083008 , -3926.138428 , 75.0 , 34.129627
3 , -6804.866699 , 11759.345703 , 75.0 , -36.843678
3 , -13045.573242 , -13887.90625 , 75.0 , -176.389908
3 , 9233.133789 , -13043.449219 , 75.0 , -12.015062
3 , -3892.077148 , -13927.730469 , 75.0 , -133.143738
3 , -11185.629883 , -7809.045898 , 75.0 , 61.458221
3 , -14245.064453 , -11450.167969 , 75.0 , 18.337851
3 , -6742.881836 , -4719.976562 , 75.0 , 106.50602
3 , -1782.652344 , 12688.099609 , 75.0 , -54.000183
3 , 2901.31543 , -3201.326172 , 75.0 , -139.497543
3 , 4893.905273 , -7593.251953 , 75.0 , -71.836037
