trial, time, gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
1 , 5.496 , true , 5771.167969 -577.292603 69.999077,8271.167969 -577.292603 69.999077,7021.167969 1587.771118 69.999077,4521.167969 1587.770874 69.999077,3271.167969 -577.292847 69.999077,4521.167969 -2742.357178 69.999077,7021.167969 -2742.357178 69.999077,40.133163 6430.63623 11.754079,2540.133057 6430.63623 11.754079,1290.132935 8595.696289 11.754079,-1209.867065 8595.696289 11.754079,-2459.866943 6430.63623 11.754079,-1209.866699 4265.572754 11.754079,1290.132812 4265.572754 11.754079,-6809.979492 2292.997559 113.770157,-4309.979492 2292.997559 113.770157,-5559.979492 4458.061523 113.770157,-8059.979492 4458.061035 113.770157,-9309.975586 2292.997314 113.770157,-8059.979492 127.934387 113.770157,-5559.979492 127.934387 113.770157,-2031.848633 -9336.87793 37.673351,468.151367 -9336.87793 37.673351,-781.848755 -7171.814453 37.673351,-3281.848877 -7171.814453 37.673351,-4531.847168 -9336.87793 37.673351,-3281.848389 -11501.941406 37.673351,-781.848877 -11501.941406 37.673351,
1 , 5.996 , true , 5776.46582 -562.727295 69.999077,8276.46582 -562.727295 69.999077,7026.46582 1602.336426 69.999077,4526.46582 1602.336182 69.999077,3276.46582 -562.727539 69.999077,4526.46582 -2727.795654 69.999077,7026.46582 -2727.795654 69.999077,55.308197 6433.799805 11.754079,2555.307617 6433.799805 11.754079,1305.307495 8598.844727 11.754079,-1194.692505 8598.844727 11.754079,-2444.692383 6433.799805 11.754079,-1194.692139 4268.736328 11.754079,1305.307373 4268.736328 11.754079,-6816.230957 2307.180664 113.770157,-4316.230957 2307.180664 113.770157,-5566.230957 4472.244629 113.770157,-8066.230957 4472.244141 113.770157,-9316.211914 2307.18042 113.770157,-8066.230957 142.119385 113.770157,-5566.230957 142.119385 113.770157,-2019.580322 -9327.402344 37.673351,480.419678 -9327.402344 37.673351,-769.580444 -7162.338867 37.673351,-3269.580566 -7162.338867 37.673351,-4519.571289 -9327.402344 37.673351,-3269.580078 -11492.46582 37.673351,-769.580566 -11492.46582 37.673351,
1 , 6.496 , true , 5781.763672 -548.161987 69.999077,8281.763672 -548.161987 69.999077,7031.763672 1616.901733 69.999077,4531.763672 1616.901489 69.999077,3281.763672 -548.162231 69.999077,4531.763672 -2713.234131 69.999077,7031.763672 -2713.234131 69.999077,70.483231 6436.963379 11.754079,2570.482178 6436.963379 11.754079,1320.482056 8601.993164 11.754079,-1179.517944 8601.993164 11.754079,-2429.517822 6436.963379 11.754079,-1179.517578 4271.899902 11.754079,1320.481934 4271.899902 11.754079,-6822.482422 2321.36377 113.770157,-4322.482422 2321.36377 113.770157,-5572.482422 4486.427734 113.770157,-8072.482422 4486.427246 113.770157,-9322.448242 2321.363525 113.770157,-8072.482422 156.304382 113.770157,-5572.482422 156.304382 113.770157,-2007.312012 -9317.926758 37.673351,492.687988 -9317.926758 37.673351,-757.312134 -7152.863281 37.673351,-3257.312256 -7152.863281 37.673351,-4507.29541 -9317.926758 37.673351,-3257.311768 -11482.990234 37.673351,-757.312256 -11482.990234 37.673351,
1 , 6.996 , true , 5787.061523 -533.59668 69.999077,8287.061523 -533.59668 69.999077,7037.061523 1631.467041 69.999077,4537.061523 1631.466797 69.999077,3287.061523 -533.596924 69.999077,4537.061523 -2698.672607 69.999077,7037.061523 -2698.672607 69.999077,85.658264 6440.126953 11.754079,2585.656738 6440.126953 11.754079,1335.656616 8605.141602 11.754079,-1164.343384 8605.141602 11.754079,-2414.343262 6440.126953 11.754079,-1164.343018 4275.063477 11.754079,1335.656494 4275.063477 11.754079,-6828.733887 2335.546875 113.770157,-4328.733887 2335.546875 113.770157,-5578.733887 4500.61084 113.770157,-8078.733887 4500.610352 113.770157,-9328.68457 2335.546631 113.770157,-8078.733887 170.48938 113.770157,-5578.733887 170.48938 113.770157,-1995.043701 -9308.451172 37.673351,504.956299 -9308.451172 37.673351,-745.043823 -7143.387695 37.673351,-3245.043945 -7143.387695 37.673351,-4495.019531 -9308.451172 37.673351,-3245.043457 -11473.514648 37.673351,-745.043945 -11473.514648 37.673351,
1 , 7.497 , true , 5792.359375 -519.031372 69.999077,8292.359375 -519.031372 69.999077,7042.359375 1646.032349 69.999077,4542.359375 1646.032104 69.999077,3292.359375 -519.031616 69.999077,4542.359375 -2684.111084 69.999077,7042.359375 -2684.111084 69.999077,100.833298 6443.290527 11.754079,2600.831299 6443.290527 11.754079,1350.831177 8608.290039 11.754079,-1149.168823 8608.290039 11.754079,-2399.168701 6443.290527 11.754079,-1149.168457 4278.227051 11.754079,1350.831055 4278.227051 11.754079,-6834.985352 2349.72998 113.770157,-4334.985352 2349.72998 113.770157,-5584.985352 4514.793945 113.770157,-8084.985352 4514.793457 113.770157,-9334.920898 2349.729736 113.770157,-8084.985352 184.674377 113.770157,-5584.985352 184.674377 113.770157,-1982.775391 -9298.975586 37.673351,517.224609 -9298.975586 37.673351,-732.775513 -7133.912109 37.673351,-3232.775635 -7133.912109 37.673351,-4482.743652 -9298.975586 37.673351,-3232.775146 -11464.039062 37.673351,-732.775635 -11464.039062 37.673351,
1 , 7.997 , true , 5797.657227 -504.466064 69.999077,8297.657227 -504.466064 69.999077,7047.657227 1660.597656 69.999077,4547.657227 1660.597412 69.999077,3297.657227 -504.466309 69.999077,4547.657227 -2669.549561 69.999077,7047.657227 -2669.549561 69.999077,116.008331 6446.454102 11.754079,2616.005859 6446.454102 11.754079,1366.005737 8611.438477 11.754079,-1133.994263 8611.438477 11.754079,-2383.994141 6446.454102 11.754079,-1133.993896 4281.390625 11.754079,1366.005615 4281.390625 11.754079,-6841.236816 2363.913086 113.770157,-4341.236816 2363.913086 113.770157,-5591.236816 4528.977051 113.770157,-8091.236816 4528.976562 113.770157,-9341.157227 2363.912842 113.770157,-8091.236816 198.859375 113.770157,-5591.236816 198.859375 113.770157,-1970.50708 -9289.5 37.673351,529.49292 -9289.5 37.673351,-720.507202 -7124.436523 37.673351,-3220.507324 -7124.436523 37.673351,-4470.467773 -9289.5 37.673351,-3220.506836 -11454.563477 37.673351,-720.507324 -11454.563477 37.673351,
1 , 8.497 , true , 5802.955078 -489.900757 69.999077,8302.955078 -489.900757 69.999077,7052.955078 1675.162964 69.999077,4552.955078 1675.16272 69.999077,3302.955078 -489.901001 69.999077,4552.955078 -2654.988037 69.999077,7052.955078 -2654.988037 69.999077,131.183365 6449.617676 11.754079,2631.18042 6449.617676 11.754079,1381.180298 8614.586914 11.754079,-1118.819702 8614.586914 11.754079,-2368.81958 6449.617676 11.754079,-1118.819336 4284.554199 11.754079,1381.180176 4284.554199 11.754079,-6847.488281 2378.096191 113.770157,-4347.488281 2378.096191 113.770157,-5597.488281 4543.160156 113.770157,-8097.488281 4543.159668 113.770157,-9347.393555 2378.095947 113.770157,-8097.488281 213.044373 113.770157,-5597.488281 213.044373 113.770157,-1958.23877 -9280.024414 37.673351,541.76123 -9280.024414 37.673351,-708.238892 -7114.960938 37.673351,-3208.239014 -7114.960938 37.673351,-4458.191895 -9280.024414 37.673351,-3208.238525 -11445.087891 37.673351,-708.239014 -11445.087891 37.673351,
1 , 8.997 , true , 5808.25293 -475.335449 69.999077,8308.25293 -475.335449 69.999077,7058.25293 1689.728271 69.999077,4558.25293 1689.728027 69.999077,3308.25293 -475.335693 69.999077,4558.25293 -2640.426514 69.999077,7058.25293 -2640.426514 69.999077,146.358398 6452.78125 11.754079,2646.35498 6452.78125 11.754079,1396.354858 8617.735352 11.754079,-1103.645142 8617.735352 11.754079,-2353.64502 6452.78125 11.754079,-1103.644775 4287.717773 11.754079,1396.354736 4287.717773 11.754079,-6853.739746 2392.279297 113.770157,-4353.739746 2392.279297 113.770157,-5603.739746 4557.343262 113.770157,-8103.739746 4557.342773 113.770157,-9353.629883 2392.279053 113.770157,-8103.739746 227.22937 113.770157,-5603.739746 227.22937 113.770157,-1945.970459 -9270.548828 37.673351,554.029541 -9270.548828 37.673351,-695.970581 -7105.485352 37.673351,-3195.970703 -7105.485352 37.673351,-4445.916016 -9270.548828 37.673351,-3195.970215 -11435.612305 37.673351,-695.970703 -11435.612305 37.673351,
1 , 9.497 , true , 5813.550781 -460.770142 69.999077,8313.550781 -460.770142 69.999077,7063.550781 1704.293579 69.999077,4563.550781 1704.293335 69.999077,3313.550781 -460.770386 69.999077,4563.550781 -2625.86499 69.999077,7063.550781 -2625.86499 69.999077,161.533432 6455.944824 11.754079,2661.529541 6455.944824 11.754079,1411.529419 8620.883789 11.754079,-1088.470581 8620.883789 11.754079,-2338.470459 6455.944824 11.754079,-1088.470215 4290.881348 11.754079,1411.529297 4290.881348 11.754079,-6859.991211 2406.462402 113.770157,-4359.991211 2406.462402 113.770157,-5609.991211 4571.526367 113.770157,-8109.991211 4571.525879 113.770157,-9359.866211 2406.462158 113.770157,-8109.991211 241.414368 113.770157,-5609.991211 241.414368 113.770157,-1933.702148 -9261.073242 37.673351,566.297852 -9261.073242 37.673351,-683.702271 -7096.009766 37.673351,-3183.702393 -7096.009766 37.673351,-4433.640137 -9261.073242 37.673351,-3183.701904 -11426.136719 37.673351,-683.702393 -11426.136719 37.673351,
1 , 9.997 , true , 5818.848633 -446.204834 69.999077,8318.848633 -446.204834 69.999077,7068.848633 1718.858887 69.999077,4568.848633 1718.858643 69.999077,3318.848633 -446.205078 69.999077,4568.848633 -2611.303467 69.999077,7068.848633 -2611.303467 69.999077,176.708466 6459.108398 11.754079,2676.704102 6459.108398 11.754079,1426.703979 8624.032227 11.754079,-1073.296021 8624.032227 11.754079,-2323.295898 6459.108398 11.754079,-1073.295654 4294.044922 11.754079,1426.703857 4294.044922 11.754079,-6866.242676 2420.645508 113.770157,-4366.242676 2420.645508 113.770157,-5616.242676 4585.709473 113.770157,-8116.242676 4585.708984 113.770157,-9366.102539 2420.645264 113.770157,-8116.242676 255.599365 113.770157,-5616.242676 255.599365 113.770157,-1921.433838 -9251.597656 37.673351,578.566162 -9251.597656 37.673351,-671.43396 -7086.53418 37.673351,-3171.434082 -7086.53418 37.673351,-4421.364258 -9251.597656 37.673351,-3171.433594 -11416.661133 37.673351,-671.434082 -11416.661133 37.673351,
