trial, posx, posy, posz, rot
1 , 8297.283203 , -2813.540771 , 20.0 , 167.368179
1 , 10797.283203 , -2813.540771 , 20.0 , 167.368179
1 , 9547.283203 , -648.477417 , 20.0 , 167.368179
1 , 7047.286133 , -648.477661 , 20.0 , 167.368179
1 , 5797.286133 , -2813.541016 , 20.0 , 167.368179
1 , 7047.286133 , -4978.604492 , 20.0 , 167.368179
1 , 9547.283203 , -4978.604492 , 20.0 , 167.368179
1 , -1356.915771 , 6497.251953 , 20.0 , -143.784958
1 , 1143.084229 , 6497.251953 , 20.0 , -143.784958
1 , -106.915665 , 8662.318359 , 20.0 , -143.784958
1 , -2606.915039 , 8662.318359 , 20.0 , -143.784958
1 , -3856.915039 , 6497.251953 , 20.0 , -143.784958
1 , -2606.914795 , 4332.188477 , 20.0 , -143.784958
1 , -106.915787 , 4332.188477 , 20.0 , -143.784958
1 , -6618.938477 , 1914.763916 , 20.0 , -138.747559
1 , -4118.938477 , 1914.763916 , 20.0 , -138.747559
1 , -5368.938477 , 4079.828369 , 20.0 , -138.747559
1 , -7868.938477 , 4079.828125 , 20.0 , -138.747559
1 , -9118.938477 , 1914.763672 , 20.0 , -138.747559
1 , -7868.938477 , -250.299622 , 20.0 , -138.747559
1 , -5368.938477 , -250.299622 , 20.0 , -138.747559
1 , 82.387909 , -8679.34375 , 20.0 , 162.636719
1 , 2582.387451 , -8679.34375 , 20.0 , 162.636719
1 , 1332.388062 , -6514.280273 , 20.0 , 162.636719
1 , -1167.611938 , -6514.280273 , 20.0 , 162.636719
1 , -2417.612549 , -8679.34375 , 20.0 , 162.636719
1 , -1167.611572 , -10844.407227 , 20.0 , 162.636719
1 , 1332.387939 , -10844.407227 , 20.0 , 162.636719
2 , 6816.152344 , 2774.021973 , 20.0 , -44.69249
2 , 9316.152344 , 2774.021973 , 20.0 , -44.69249
2 , 8066.152344 , 4939.085938 , 20.0 , -44.69249
2 , 5566.152344 , 4939.085449 , 20.0 , -44.69249
2 , 4316.152344 , 2774.021729 , 20.0 , -44.69249
2 , 5566.152344 , 608.957764 , 20.0 , -44.69249
2 , 8066.152344 , 608.957764 , 20.0 , -44.69249
2 , 1246.301758 , 5287.422363 , 20.0 , -148.310669
2 , 3746.300781 , 5287.422363 , 20.0 , -148.310669
2 , 2496.300781 , 7452.486328 , 20.0 , -148.310669
2 , -3.69868 , 7452.48584 , 20.0 , -148.310669
2 , -1253.698242 , 5287.422363 , 20.0 , -148.310669
2 , -3.698314 , 3122.358643 , 20.0 , -148.310669
2 , 2496.300537 , 3122.358643 , 20.0 , -148.310669
2 , -6269.343262 , 1221.512207 , 20.0 , 142.877441
2 , -3769.345215 , 1221.512207 , 20.0 , 142.877441
2 , -5019.343262 , 3386.575928 , 20.0 , 142.877441
2 , -7519.343262 , 3386.575684 , 20.0 , 142.877441
2 , -8769.34375 , 1221.511963 , 20.0 , 142.877441
2 , -7519.342773 , -943.551514 , 20.0 , 142.877441
2 , -5019.34375 , -943.551514 , 20.0 , 142.877441
2 , -2832.858398 , -8156.757812 , 20.0 , 178.354507
2 , -332.858643 , -8156.757812 , 20.0 , 178.354507
2 , -1582.858521 , -5991.694336 , 20.0 , 178.354507
2 , -4082.858398 , -5991.694336 , 20.0 , 178.354507
2 , -5332.860352 , -8156.757812 , 20.0 , 178.354507
2 , -4082.858154 , -10321.817383 , 20.0 , 178.354507
2 , -1582.858643 , -10321.817383 , 20.0 , 178.354507
3 , 6977.646484 , -2315.654297 , 20.0 , -94.778069
3 , 9477.643555 , -2315.654297 , 20.0 , -94.778069
3 , 8227.642578 , -150.590363 , 20.0 , -94.778069
3 , 5727.646484 , -150.590607 , 20.0 , -94.778069
3 , 4477.646484 , -2315.654541 , 20.0 , -94.778069
3 , 5727.646973 , -4480.716309 , 20.0 , -94.778069
3 , 8227.642578 , -4480.716309 , 20.0 , -94.778069
3 , 600.684875 , 6079.708496 , 20.0 , -158.870972
3 , 3100.685303 , 6079.708496 , 20.0 , -158.870972
3 , 1850.684326 , 8244.768555 , 20.0 , -158.870972
3 , -649.315247 , 8244.768555 , 20.0 , -158.870972
3 , -1899.315552 , 6079.708496 , 20.0 , -158.870972
3 , -649.31488 , 3914.644775 , 20.0 , -158.870972
3 , 1850.684204 , 3914.644775 , 20.0 , -158.870972
3 , -9003.124023 , 1819.449829 , 20.0 , -177.525024
3 , -6503.120605 , 1819.449829 , 20.0 , -177.525024
3 , -7753.120605 , 3984.514404 , 20.0 , -177.525024
3 , -10253.124023 , 3984.51416 , 20.0 , -177.525024
3 , -11503.124023 , 1819.449585 , 20.0 , -177.525024
3 , -10253.124023 , -345.613892 , 20.0 , -177.525024
3 , -7753.120605 , -345.613892 , 20.0 , -177.525024
3 , 2491.869385 , -8318.067383 , 20.0 , 82.499962
3 , 4991.871094 , -8318.067383 , 20.0 , 82.499962
3 , 3741.869385 , -6153.007324 , 20.0 , 82.499962
3 , 1241.870117 , -6153.007324 , 20.0 , 82.499962
3 , -8.130073 , -8318.067383 , 20.0 , 82.499962
3 , 1241.870483 , -10483.130859 , 20.0 , 82.499962
3 , 3741.869141 , -10483.130859 , 20.0 , 82.499962
4 , 5499.4375 , -1187.085571 , 20.0 , -163.024414
4 , 7999.4375 , -1187.085571 , 20.0 , -163.024414
4 , 6749.4375 , 977.978149 , 20.0 , -163.024414
4 , 4249.4375 , 977.977905 , 20.0 , -163.024414
4 , 2999.435547 , -1187.085815 , 20.0 , -163.024414
4 , 4249.4375 , -3352.149414 , 20.0 , -163.024414
4 , 6749.4375 , -3352.149414 , 20.0 , -163.024414
4 , -2334.70166 , 6059.938477 , 20.0 , -22.520338
4 , 165.297974 , 6059.938477 , 20.0 , -22.520338
4 , -1084.701782 , 8225.001953 , 20.0 , -22.520338
4 , -3584.70166 , 8225.001953 , 20.0 , -22.520338
4 , -4834.70166 , 6059.938477 , 20.0 , -22.520338
4 , -3584.701416 , 3894.874756 , 20.0 , -22.520338
4 , -1084.701904 , 3894.874756 , 20.0 , -22.520338
4 , -8367.959961 , 2959.036621 , 20.0 , -42.913128
4 , -5867.959961 , 2959.036621 , 20.0 , -42.913128
4 , -7117.959961 , 5124.100586 , 20.0 , -42.913128
4 , -9617.959961 , 5124.100098 , 20.0 , -42.913128
4 , -10867.959961 , 2959.036377 , 20.0 , -42.913128
4 , -9617.959961 , 793.971924 , 20.0 , -42.913128
4 , -7117.959961 , 793.971924 , 20.0 , -42.913128
4 , 2939.384277 , -9703.796875 , 20.0 , 135.034164
4 , 5439.382324 , -9703.796875 , 20.0 , 135.034164
4 , 4189.382324 , -7538.733398 , 20.0 , 135.034164
4 , 1689.384155 , -7538.733398 , 20.0 , 135.034164
4 , 439.384277 , -9703.796875 , 20.0 , 135.034164
4 , 1689.384521 , -11868.860352 , 20.0 , 135.034164
4 , 4189.381836 , -11868.860352 , 20.0 , 135.034164
