trial,time,gameplay?,player x,player y,player z,player heading,reward count per TR,shrub in view?,crow in view?,water in view?,deer in view?,UTC
1 , 5.407 , true , 0.0 , 0.0 , 168.366928 , 0.0 , 0 , false , false , false , false , 19:47:17:826
1 , 5.608 , true , 0.0 , 0.0 , 168.366928 , 0.0 , 0 , false , false , false , false , 19:47:18:27
1 , 5.818 , true , 0.0 , 0.0 , 168.366928 , 0.0 , 0 , false , false , false , false , 19:47:18:237
1 , 6.027 , true , 14.91826 , 0.0 , 168.366928 , 0.0 , 0 , false , false , false , false , 19:47:18:447
1 , 6.237 , true , 110.486252 , 0.0 , 168.366928 , 0.0 , 0 , false , false , false , false , 19:47:18:656
1 , 6.447 , true , 236.322083 , 0.0 , 168.366928 , 0.0 , 0 , false , false , false , false , 19:47:18:866
1 , 6.657 , true , 361.143555 , 12.404337 , 168.366928 , 18.145847 , 0 , false , false , false , false , 19:47:19:76
1 , 6.866 , true , 481.765106 , 48.079258 , 168.366928 , 18.145847 , 0 , false , false , false , false , 19:47:19:285
1 , 7.076 , true , 601.362366 , 87.171837 , 168.366928 , 23.589466 , 0 , false , false , false , false , 19:47:19:495
1 , 7.286 , true , 713.503601 , 143.650192 , 168.366928 , 34.487904 , 0 , false , false , false , false , 19:47:19:705
1 , 7.495 , true , 818.126709 , 213.531021 , 168.366928 , 34.487904 , 0 , false , false , false , false , 19:47:19:914
1 , 7.705 , true , 916.898865 , 291.082092 , 168.366928 , 50.823231 , 0 , false , false , false , false , 19:47:20:124
1 , 7.915 , true , 999.631104 , 385.817932 , 168.366928 , 50.823231 , 0 , false , false , false , false , 19:47:20:334
1 , 8.125 , true , 1079.38147 , 483.119843 , 168.366928 , 50.823231 , 0 , false , false , false , false , 19:47:20:544
1 , 8.334 , true , 1158.880249 , 580.628174 , 168.366928 , 50.823231 , 0 , false , false , false , false , 19:47:20:753
1 , 8.544 , true , 1228.804443 , 684.965759 , 168.366928 , 65.352982 , 0 , false , false , false , false , 19:47:20:963
1 , 8.754 , true , 1283.344604 , 798.326965 , 168.366928 , 65.352982 , 0 , false , false , false , false , 19:47:21:173
1 , 8.964 , true , 1335.9823 , 912.594421 , 168.366928 , 65.352982 , 0 , false , false , false , false , 19:47:21:383
1 , 9.173 , true , 1387.60376 , 1027.316528 , 168.366928 , 74.425636 , 0 , false , false , false , false , 19:47:21:592
1 , 9.383 , true , 1421.581665 , 1148.342773 , 168.366928 , 78.054733 , 0 , false , false , false , false , 19:47:21:802
1 , 9.593 , true , 1448.342651 , 1271.273315 , 168.366928 , 74.425606 , 0 , false , false , false , false , 19:47:22:12
