time,trial,gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
5.476 , 1 , true , 6273.741211 12879.304688 151.371536,2585.602539 -13899.005859 -136.356659,-11863.786133 5489.072266 142.241409,-5173.873047 13511.925781 -110.975815,-8466.594727 3833.857666 -29.716803,-431.983154 -12058.0 -166.835373,9826.147461 11227.3125 -62.076477,-7823.761719 3694.082275 -178.968948,-13549.512695 -10568.828125 19.966345,11300.62793 -13796.486328 152.915771,-1927.214844 10429.072266 171.761169,-10947.390625 14078.603516 103.392456,-3756.030273 6755.244141 107.028419,13175.206055 10492.691406 18.6751,-1536.904297 -4360.274414 94.468399,-8813.983398 8697.805664 -18.810612,-4401.586914 -899.333496 -50.66869,13082.131836 12270.662109 100.478043,-14261.72168 -11679.570312 101.574463,-8758.139648 -5959.160156 12.772784,2868.790039 -8098.675781 -142.007309,-10957.325195 12232.550781 128.944595,4421.297852 4946.783203 158.7341,8205.301758 2803.658203 117.799545,-7146.583496 10959.025391 162.422607,-1250.729492 2899.019531 156.783432,3266.196289 -3721.760498 58.912174,-8706.959961 4723.087891 -159.448639,
5.976 , 1 , true , 6246.525391 12894.168945 151.371536,2563.169922 -13920.40918 -136.356659,-11888.307617 5508.053711 142.241409,-5184.968262 13482.984375 -110.975815,-8439.681641 3818.493896 -29.716803,-462.16861 -12065.053711 -166.835373,9840.678711 11199.915039 -62.076477,-7854.761719 3693.522217 -178.968948,-13520.389648 -10558.232422 19.966345,11273.018555 -13782.378906 152.915771,-1957.893188 10433.522461 171.761169,-10954.56543 14108.755859 103.392456,-3765.104736 6784.881836 107.028419,13204.571289 10502.621094 18.6751,-1539.318604 -4329.365234 94.468399,-8784.648438 8687.81543 -18.810612,-4381.939453 -923.311951 -50.66869,13076.500977 12301.147461 100.478043,-14267.927734 -11649.206055 101.574463,-8727.896484 -5952.303223 12.772784,2844.359375 -8117.763184 -142.007309,-10976.821289 12256.648438 128.944595,4392.401855 4958.029785 158.7341,8190.83252 2831.078369 117.799545,-7176.130371 10968.379883 162.422607,-1279.220581 2911.242432 156.783432,3282.203369 -3695.210693 58.912174,-8735.992188 4712.20459 -159.448639,
6.476 , 1 , true , 6219.30957 12909.033203 151.371536,2540.737305 -13941.8125 -136.356659,-11912.829102 5527.035156 142.241409,-5196.063477 13454.042969 -110.975815,-8412.768555 3803.130127 -29.716803,-492.354065 -12072.107422 -166.835373,9855.209961 11172.517578 -62.076477,-7885.761719 3692.962158 -178.968948,-13491.266602 -10547.636719 19.966345,11245.40918 -13768.271484 152.915771,-1988.571533 10437.972656 171.761169,-10961.740234 14138.908203 103.392456,-3774.179199 6814.519531 107.028419,13233.936523 10512.550781 18.6751,-1541.73291 -4298.456055 94.468399,-8755.313477 8677.825195 -18.810612,-4362.291992 -947.290405 -50.66869,13070.870117 12331.632812 100.478043,-14274.133789 -11618.841797 101.574463,-8697.65332 -5945.446289 12.772784,2819.928711 -8136.850586 -142.007309,-10996.317383 12280.746094 128.944595,4363.505859 4969.276367 158.7341,8176.376953 2858.498535 117.799545,-7205.677246 10977.734375 162.422607,-1307.71167 2923.465332 156.783432,3298.210449 -3668.660889 58.912174,-8765.024414 4701.321289 -159.448639,
6.976 , 1 , true , 6192.09375 12923.897461 151.371536,2518.304688 -13963.21582 -136.356659,-11937.350586 5546.016602 142.241409,-5207.158691 13425.101562 -110.975815,-8385.855469 3787.766357 -29.716803,-522.539185 -12079.161133 -166.835373,9869.741211 11145.120117 -62.076477,-7916.761719 3692.4021 -178.968948,-13462.143555 -10537.041016 19.966345,11217.799805 -13754.164062 152.915771,-2019.249878 10442.422852 171.761169,-10968.915039 14169.060547 103.392456,-3783.253662 6844.157227 107.028419,13263.301758 10522.480469 18.6751,-1544.147217 -4267.546875 94.468399,-8725.978516 8667.834961 -18.810612,-4342.644531 -971.26886 -50.66869,13065.239258 12362.118164 100.478043,-14280.339844 -11588.477539 101.574463,-8667.410156 -5938.589355 12.772784,2795.498047 -8155.937988 -142.007309,-11015.813477 12304.84375 128.944595,4334.609863 4980.522949 158.7341,8161.921387 2885.918701 117.799545,-7235.224121 10987.088867 162.422607,-1336.202759 2935.688232 156.783432,3314.217529 -3642.111084 58.912174,-8794.056641 4690.437988 -159.448639,
7.476 , 1 , true , 6164.87793 12938.761719 151.371536,2495.87207 -13984.619141 -136.356659,-11961.87207 5564.998047 142.241409,-5218.253906 13396.160156 -110.975815,-8358.942383 3772.402588 -29.716803,-552.723694 -12086.214844 -166.835373,9884.272461 11117.722656 -62.076477,-7947.761719 3691.842041 -178.968948,-13433.020508 -10526.445312 19.966345,11190.19043 -13740.056641 152.915771,-2049.928467 10446.873047 171.761169,-10976.089844 14199.212891 103.392456,-3792.328125 6873.794922 107.028419,13292.666992 10532.410156 18.6751,-1546.561523 -4236.637695 94.468399,-8696.643555 8657.844727 -18.810612,-4322.99707 -995.247314 -50.66869,13059.608398 12392.603516 100.478043,-14286.545898 -11558.113281 101.574463,-8637.166992 -5931.732422 12.772784,2771.067383 -8175.025391 -142.007309,-11035.30957 12328.941406 128.944595,4305.713867 4991.769531 158.7341,8147.46582 2913.338867 117.799545,-7264.770996 10996.443359 162.422607,-1364.693848 2947.911133 156.783432,3330.224609 -3615.561279 58.912174,-8823.088867 4679.554688 -159.448639,
7.976 , 1 , true , 6137.662109 12953.625977 151.371536,2473.439453 -14006.022461 -136.356659,-11986.393555 5583.979492 142.241409,-5229.349121 13367.21875 -110.975815,-8332.029297 3757.038818 -29.716803,-582.908203 -12093.268555 -166.835373,9898.803711 11090.325195 -62.076477,-7978.761719 3691.281982 -178.968948,-13403.897461 -10515.849609 19.966345,11162.581055 -13725.949219 152.915771,-2080.610596 10451.323242 171.761169,-10983.264648 14229.365234 103.392456,-3801.402588 6903.432617 107.028419,13322.032227 10542.339844 18.6751,-1548.97583 -4205.728516 94.468399,-8667.308594 8647.854492 -18.810612,-4303.349609 -1019.225769 -50.66869,13053.977539 12423.088867 100.478043,-14292.751953 -11527.749023 101.574463,-8606.923828 -5924.875488 12.772784,2746.636719 -8194.111328 -142.007309,-11054.805664 12353.039062 128.944595,4276.817871 5003.016113 158.7341,8133.010254 2940.759033 117.799545,-7294.317871 11005.797852 162.422607,-1393.184937 2960.134033 156.783432,3346.231689 -3589.011475 58.912174,-8852.121094 4668.671387 -159.448639,
8.477 , 1 , true , 6110.446289 12968.490234 151.371536,2451.006836 -14027.425781 -136.356659,-12010.915039 5602.960938 142.241409,-5240.444336 13338.277344 -110.975815,-8305.116211 3741.675049 -29.716803,-613.092712 -12100.322266 -166.835373,9913.334961 11062.927734 -62.076477,-8009.761719 3690.721924 -178.968948,-13374.774414 -10505.253906 19.966345,11134.97168 -13711.841797 152.915771,-2111.292725 10455.773438 171.761169,-10990.439453 14259.517578 103.392456,-3810.477051 6933.070312 107.028419,13351.397461 10552.269531 18.6751,-1551.390137 -4174.819336 94.468399,-8637.973633 8637.864258 -18.810612,-4283.702148 -1043.202759 -50.66869,13048.34668 12453.574219 100.478043,-14298.958008 -11497.384766 101.574463,-8576.680664 -5918.018555 12.772784,2722.206055 -8213.183594 -142.007309,-11074.301758 12377.136719 128.944595,4247.921875 5014.262695 158.7341,8118.554688 2968.179199 117.799545,-7323.864746 11015.152344 162.422607,-1421.676025 2972.356934 156.783432,3362.23877 -3562.46167 58.912174,-8881.15332 4657.788086 -159.448639,
8.977 , 1 , true , 6083.230469 12983.354492 151.371536,2428.574219 -14048.829102 -136.356659,-12035.436523 5621.942383 142.241409,-5251.539551 13309.335938 -110.975815,-8278.203125 3726.311279 -29.716803,-643.277222 -12107.375977 -166.835373,9927.866211 11035.530273 -62.076477,-8040.761719 3690.161865 -178.968948,-13345.651367 -10494.658203 19.966345,11107.362305 -13697.734375 152.915771,-2141.974854 10460.223633 171.761169,-10997.614258 14289.669922 103.392456,-3819.551514 6962.708008 107.028419,13380.762695 10562.199219 18.6751,-1553.804443 -4143.910156 94.468399,-8608.638672 8627.874023 -18.810612,-4264.054688 -1067.179321 -50.66869,13042.71582 12484.05957 100.478043,-14305.164062 -11467.020508 101.574463,-8546.4375 -5911.161621 12.772784,2697.775391 -8232.255859 -142.007309,-11093.797852 12401.234375 128.944595,4219.025879 5025.509277 158.7341,8104.099121 2995.599365 117.799545,-7353.411621 11024.506836 162.422607,-1450.167114 2984.579834 156.783432,3378.24585 -3535.911865 58.912174,-8910.185547 4646.904785 -159.448639,
9.477 , 1 , true , 6056.014648 12998.21875 151.371536,2406.141602 -14070.232422 -136.356659,-12059.958008 5640.923828 142.241409,-5262.634766 13280.394531 -110.975815,-8251.290039 3710.94751 -29.716803,-673.461731 -12114.429688 -166.835373,9942.397461 11008.132812 -62.076477,-8071.761719 3689.601807 -178.968948,-13316.52832 -10484.0625 19.966345,11079.75293 -13683.626953 152.915771,-2172.656982 10464.673828 171.761169,-11004.789062 14319.822266 103.392456,-3828.625977 6992.345703 107.028419,13410.12793 10572.128906 18.6751,-1556.21875 -4113.000977 94.468399,-8579.303711 8617.883789 -18.810612,-4244.407227 -1091.155884 -50.66869,13037.084961 12514.544922 100.478043,-14311.370117 -11436.65625 101.574463,-8516.194336 -5904.304688 12.772784,2673.344727 -8251.328125 -142.007309,-11113.293945 12425.332031 128.944595,4190.129883 5036.755859 158.7341,8089.643555 3023.019531 117.799545,-7382.958496 11033.861328 162.422607,-1478.658203 2996.802734 156.783432,3394.25293 -3509.362061 58.912174,-8939.217773 4636.021484 -159.448639,
9.977 , 1 , true , 6028.798828 13013.083008 151.371536,2383.708984 -14091.635742 -136.356659,-12084.479492 5659.905273 142.241409,-5273.72998 13251.453125 -110.975815,-8224.376953 3695.58374 -29.716803,-703.64624 -12121.483398 -166.835373,9956.928711 10980.735352 -62.076477,-8102.761719 3689.041748 -178.968948,-13287.405273 -10473.466797 19.966345,11052.143555 -13669.519531 152.915771,-2203.339111 10469.124023 171.761169,-11011.963867 14349.974609 103.392456,-3837.700439 7021.983398 107.028419,13439.493164 10582.058594 18.6751,-1558.633057 -4082.091797 94.468399,-8549.96875 8607.893555 -18.810612,-4224.759766 -1115.132446 -50.66869,13031.454102 12545.030273 100.478043,-14317.576172 -11406.291992 101.574463,-8485.951172 -5897.447754 12.772784,2648.914062 -8270.400391 -142.007309,-11132.790039 12449.429688 128.944595,4161.233887 5048.002441 158.7341,8075.187988 3050.439697 117.799545,-7412.505371 11043.21582 162.422607,-1507.149292 3009.025635 156.783432,3410.26001 -3482.812256 58.912174,-8968.25 4625.138184 -159.448639,
