trial, posx, posy, posz, rot
1 , 10333.548828 , 8955.996094 , 20.0 , 0.0
1 , 12833.548828 , 8955.996094 , 20.0 , 67.712044
1 , 11583.548828 , 11121.05957 , 20.0 , -168.707077
1 , 9083.548828 , 11121.05957 , 20.0 , -121.635048
1 , 7833.548828 , 8955.996094 , 20.0 , 139.255203
1 , 9083.548828 , 6790.932617 , 20.0 , -52.67741
1 , 11583.548828 , 6790.932617 , 20.0 , 152.816238
1 , 5850.740723 , -6599.055664 , 20.0 , 0.0
1 , 8350.740234 , -6599.055664 , 20.0 , -92.985504
1 , 7100.740723 , -4433.992188 , 20.0 , 63.597187
1 , 4600.740723 , -4433.992188 , 20.0 , 91.057899
1 , 3350.740723 , -6599.055664 , 20.0 , -98.491707
1 , 4600.741211 , -8764.119141 , 20.0 , 127.91967
1 , 7100.740234 , -8764.119141 , 20.0 , -113.861946
1 , -5239.888672 , 7189.663086 , 20.0 , 0.0
1 , -2739.888672 , 7189.663086 , 20.0 , 158.16011
1 , -3989.888672 , 9354.726562 , 20.0 , 122.786301
1 , -6489.888672 , 9354.726562 , 20.0 , 123.549126
1 , -7739.888672 , 7189.663086 , 20.0 , -120.789963
1 , -6489.888672 , 5024.599609 , 20.0 , -103.354416
1 , -3989.888916 , 5024.599609 , 20.0 , -147.50293
1 , -9168.248047 , -7737.842773 , 20.0 , 0.0
1 , -6668.248047 , -7737.842773 , 20.0 , -22.1577
1 , -7918.248047 , -5572.779297 , 20.0 , 9.903008
1 , -10418.248047 , -5572.779297 , 20.0 , 96.454033
1 , -11668.248047 , -7737.842773 , 20.0 , -74.350876
1 , -10418.248047 , -9902.90625 , 20.0 , 149.304886
1 , -7918.248047 , -9902.90625 , 20.0 , -35.82983
2 , 10333.548828 , 8955.996094 , 20.0 , 0.0
2 , 12833.548828 , 8955.996094 , 20.0 , 67.712044
2 , 11583.548828 , 11121.05957 , 20.0 , -168.707077
2 , 9083.548828 , 11121.05957 , 20.0 , -121.635048
2 , 7833.548828 , 8955.996094 , 20.0 , 139.255203
2 , 9083.548828 , 6790.932617 , 20.0 , -52.67741
2 , 11583.548828 , 6790.932617 , 20.0 , 152.816238
2 , 5850.740723 , -6599.055664 , 20.0 , 0.0
